id,name,date,time,dayOfWeek,facility,staffRequired
"20260605_4","Thứ 6, 05/06/2026, Ca 4: 15g30-18g00","2026-06-05","15g30","Thứ 6","Cơ sở 1","5"
"20260612_1","Thứ 6, 12/06/2026, Ca 1: 07g00-09g30","2026-06-12","07g00","Thứ 6","Cơ sở 1","30"
"20260612_2","Thứ 6, 12/06/2026, Ca 2: 09g30-12g00","2026-06-12","09g30","Thứ 6","Cơ sở 1","4"
"20260612_3","Thứ 6, 12/06/2026, Ca 3: 13g00-15g30","2026-06-12","13g00","Thứ 6","Cơ sở 1","30"
"20260612_4","Thứ 6, 12/06/2026, Ca 4: 15g30-18g00","2026-06-12","15g30","Thứ 6","Cơ sở 1","21"
"20260522_5","Thứ 6, 22/05/2026, Ca 5: 18g15-20g45","2026-05-22","18g15","Thứ 6","Cơ sở 1","2"
"20260529_1","Thứ 6, 29/05/2026, Ca 1: 07g00-09g30","2026-05-29","07g00","Thứ 6","Cơ sở 1","1"
"20260529_1","Thứ 6, 29/05/2026, Ca 1: 07g00-09g30","2026-05-29","07g00","Thứ 6","Cơ sở 2","31"
"20260529_2","Thứ 6, 29/05/2026, Ca 2: 09g30-12g00","2026-05-29","09g30","Thứ 6","Cơ sở 1","1"
"20260529_3","Thứ 6, 29/05/2026, Ca 3: 13g00-15g30","2026-05-29","13g00","Thứ 6","Cơ sở 1","1"
"20260529_5","Thứ 6, 29/05/2026, Ca 5: 18g15-20g45","2026-05-29","18g15","Thứ 6","Cơ sở 1","3"
"20260613_1","Thứ 7, 13/06/2026, Ca 1: 07g00-09g30","2026-06-13","07g00","Thứ 7","Cơ sở 1","4"
"20260613_2","Thứ 7, 13/06/2026, Ca 2: 09g30-12g00","2026-06-13","09g30","Thứ 7","Cơ sở 1","2"
"20260613_2","Thứ 7, 13/06/2026, Ca 2: 09g30-12g00","2026-06-13","09g30","Thứ 7","Cơ sở 2","6"
"20260613_3","Thứ 7, 13/06/2026, Ca 3: 13g00-15g30","2026-06-13","13g00","Thứ 7","Cơ sở 1","4"
"20260613_3","Thứ 7, 13/06/2026, Ca 3: 13g00-15g30","2026-06-13","13g00","Thứ 7","Cơ sở 2","6"
"20260613_4","Thứ 7, 13/06/2026, Ca 4: 15g30-18g00","2026-06-13","15g30","Thứ 7","Cơ sở 1","4"
"20260613_4","Thứ 7, 13/06/2026, Ca 4: 15g30-18g00","2026-06-13","15g30","Thứ 7","Cơ sở 2","6"
"20260523_3","Thứ 7, 23/05/2026, Ca 3: 13g00-15g30","2026-05-23","13g00","Thứ 7","Cơ sở 1","6"
"20260530_2","Thứ 7, 30/05/2026, Ca 2: 09g30-12g00","2026-05-30","09g30","Thứ 7","Cơ sở 1","4"
"20260530_3","Thứ 7, 30/05/2026, Ca 3: 13g00-15g30","2026-05-30","13g00","Thứ 7","Cơ sở 1","4"
